corr,seed,vif_feature1,vif_feature2,cond_number,time_lr_both,time_svr_both,time_rf_both,time_mlp_both,coef_lin_f1,coef_lin_f2,rmse_lin_train_both,rmse_lin_test_both,rmse_svr_train_both,rmse_svr_test_both,rmse_rf_train_both,rmse_rf_test_both,rmse_mlp_train_both,rmse_mlp_test_both,svr_imp_f1_both,svr_imp_f2_both,rf_imp_f1_both,rf_imp_f2_both,mlp_imp_f1_both,mlp_imp_f2_both,svr_shap_f1_both,svr_shap_f2_both,rf_shap_f1_both,rf_shap_f2_both,mlp_shap_f1_both,mlp_shap_f2_both,rmse_lin_train_f1,rmse_lin_test_f1,rmse_svr_train_f1,rmse_svr_test_f1,rmse_rf_train_f1,rmse_rf_test_f1,rmse_mlp_train_f1,rmse_mlp_test_f1,time_lr_f1,time_svr_f1,time_rf_f1,time_mlp_f1,rmse_lin_train_f2,rmse_lin_test_f2,rmse_svr_train_f2,rmse_svr_test_f2,rmse_rf_train_f2,rmse_rf_test_f2,rmse_mlp_train_f2,rmse_mlp_test_f2,time_lr_f2,time_svr_f2,time_rf_f2,time_mlp_f2
-0.7,42,1.8967538366821195,1.89675383668212,2.3241977388908213,0.0005459785461425781,0.07629013061523438,0.16895580291748047,0.4700133800506592,0.0274278113202662,1.9166172503709118,1.3796398955727212,1.2290486352121432,1.3713804522952282,1.1892882768682405,0.4672192708350334,1.1244409817052459,1.2937050483893575,1.1750014153425563,0.06316668184728726,1.152661857866034,-0.008866298985399835,1.5810836139268076,0.005777152141240305,1.463395814738725,0.10408945901661491,1.4162924158139716,0.15368660601831372,1.5794340522546841,0.06811079872376379,1.545057694193889,1.9652839848191965,1.8212881998548347,1.972075770178893,1.822363800520153,0.8796129463671164,2.255687562166821,1.9574594502810585,1.8221357652745223,0.0007524490356445312,0.08290410041809082,0.24564099311828613,0.38134145736694336,1.3797837575185499,1.2293783082950323,1.3789900977254763,1.1672336742046103,0.5050017280136994,1.2198050932363618,1.3181738718135425,1.1813997964785348,0.0006105899810791016,0.0772242546081543,0.249159574508667,0.46382689476013184
-0.7,43,2.041961096400574,2.041961096400573,2.449736998345308,0.0005953311920166016,0.08167862892150879,0.18633270263671875,0.4745166301727295,0.05229221437431698,1.912392920632373,1.214407503554558,1.5070610764963306,1.1355858034178716,1.4828363730977563,0.418820760668955,1.2026798755304022,1.1533749571046943,1.4203622802155214,0.14042848154685567,0.9208421279804458,0.007909301998128481,1.4808174994265892,0.022160365698251826,1.2442581672518256,0.1616963971463142,1.321626669096851,0.15650952274048324,1.580114188292123,0.06606560501085403,1.5110433927337634,1.8034891147297476,2.115807703923525,1.8213020872505414,2.1364273400908327,0.8273380301982327,2.2975348345357873,1.8017857287336232,2.1077690260549082,0.0006337165832519531,0.08482980728149414,0.2507174015045166,0.13335299491882324,1.2149492357748854,1.5093611935059108,1.0897155978187658,1.4342390901817135,0.46456098757079034,1.271452696482456,1.1464361647204908,1.393896973336958,0.0005483627319335938,0.08060407638549805,0.25258302688598633,0.4355313777923584
-0.7,44,2.0563517281318835,2.056351728131883,2.4617882400376656,0.0005576610565185547,0.07905316352844238,0.1615908145904541,0.4626595973968506,-0.018727552126272227,1.883210903452672,1.3027246554828225,1.218036497145457,1.2482664017860714,1.1332073072035294,0.44552325131745113,1.1125314711713243,1.2473511210884993,1.1813739197390754,0.10021925745166438,1.0687046606831971,0.005801543358341932,1.516525338922992,0.009593626850949532,1.3524665640487852,0.17335366319918763,1.3485128478588666,0.16177649431706428,1.5475101852181816,0.06616356987200463,1.52905824074052,1.8463362295400578,1.7396738456181655,1.8658553942333997,1.7609494202524185,0.849734822434761,2.199030123156687,1.839655240900785,1.7372527300650749,0.0007240772247314453,0.07818222045898438,0.2555360794067383,0.4875516891479492,1.3027925459459258,1.2186099857421986,1.2597490364974813,1.1122901917645085,0.47937321074391503,1.2292779515685963,1.2439479773321185,1.166554373048318,0.0006172657012939453,0.0774683952331543,0.2518630027770996,0.5031905174255371
-0.7,45,1.8743126000181571,1.8743126000181571,2.3041022115254344,0.0006470680236816406,0.08353281021118164,0.20445990562438965,0.5268077850341797,0.07757431953620225,1.8236455509529204,1.2096211615322294,1.2507187186475475,1.157721072913751,1.324796249654714,0.44094827488043575,1.1390015178634727,1.163033252014861,1.219995452562306,0.03353632459195201,1.054478844127744,-0.017455576984944356,1.4767624500577594,-0.0035212179836537683,1.406630870700696,0.1284471427204215,1.349652087390073,0.15652729284046837,1.5418174362961243,0.06379692429578804,1.505282356017245,1.8050491977982719,1.8389338627792278,1.8040382065874159,1.910529877612648,0.7992070717641845,2.167047216528417,1.8018064237946532,1.8485405095043703,0.0008573532104492188,0.08018350601196289,0.2537977695465088,0.21786069869995117,1.2109226290878592,1.2467893439826119,1.1380721295173657,1.172818588003065,0.47286397066641567,1.217314122813299,1.1664213442300448,1.218639719980518,0.0007162094116210938,0.0796053409576416,0.255936861038208,0.4711155891418457
-0.7,46,1.9366951839289115,1.936695183928912,2.359482104297476,0.0006606578826904297,0.08351445198059082,0.24190473556518555,0.4985365867614746,0.04225409283216991,1.9228680386219341,1.4801321601686637,1.3047688280947587,1.4575088707654023,1.2544307784503668,0.4303511348898039,1.1642092990497497,1.3414433374985166,1.2573079529965467,0.11906840488233823,1.1265530201434204,0.013808227885522861,1.537633316971226,0.010648017141213884,1.3343790970233784,0.10467869809611073,1.3847450256753426,0.16397484881121657,1.5469030625989557,0.09474376702393332,1.464217747113895,2.0284398662956926,1.8792030107569015,2.0574062088914746,1.9088294258785914,0.9343053589892479,2.178949245612395,1.9778292737387562,1.8924897706550168,0.0007026195526123047,0.08160829544067383,0.2688603401184082,0.4499385356903076,1.4804412173181372,1.3043273926304073,1.4062552318908264,1.2393469383970201,0.46953656698072566,1.2390500299165053,1.3053083509913257,1.2373547461352714,0.0006129741668701172,0.07542538642883301,0.2595248222351074,0.4519033432006836
-0.7,47,1.9536768460028746,1.9536768460028746,2.3743037015740027,0.0008435249328613281,0.07795834541320801,0.19098162651062012,0.49594759941101074,0.06808429186939545,2.066639316875888,1.4244833571679014,1.3699831261015267,1.3661456863481625,1.287038888447354,0.41363056112093083,1.1096568720477136,1.2919924943272352,1.286016752317654,0.11286177406391026,1.0390758054345115,0.006026683825387158,1.6039389346928865,0.010060667389763323,1.4232124481291133,0.1535522741089646,1.397346441925346,0.14720236504056453,1.5750417119341844,0.08033419706922383,1.5933101868598551,2.0712471227887947,1.9267029520763903,2.110869495212492,1.9458984753952295,0.9636869240111429,2.4154713404052224,2.0666513625611644,1.9312772355977237,0.0005810260772705078,0.08856892585754395,0.2460031509399414,0.33172106742858887,1.4253334731937384,1.37190486466864,1.281905695592326,1.2405980981306974,0.4514395987566436,1.245804646334868,1.2847970904864139,1.267567936433531,0.000591278076171875,0.0747230052947998,0.2586994171142578,0.45927977561950684
-0.7,48,1.8064162432163013,1.8064162432163005,2.2420366689651954,0.0007307529449462891,0.0840764045715332,0.19283747673034668,0.49463510513305664,0.03149936148407813,1.9811092253023126,1.4165052047559779,1.1500304124066891,1.400272518241594,1.0487775602683345,0.4459381164287046,1.0662831610329468,1.2820245564398443,1.1159715273007038,0.05989148741998238,1.3692387742312864,0.01541637559477721,1.6015804623844212,0.008631842573794535,1.6379487310889747,0.09778424185737325,1.4524410922014708,0.15543624020968594,1.489914668864781,0.08950371474736846,1.5490652325882694,2.040654952535116,1.7113597854736562,2.05754729371716,1.6988447902656088,0.8840600061220669,2.196386150383564,2.0137797868185023,1.7205440137379817,0.0005488395690917969,0.0757761001586914,0.23928403854370117,0.43509650230407715,1.416695918545774,1.149033974775094,1.307321619312646,1.016889133630463,0.4788761610843116,1.1720771943384996,1.3584798729294976,1.1276573523788411,0.0006041526794433594,0.07626962661743164,0.24029922485351562,0.43488597869873047
-0.7,49,1.9269225247857233,1.926922524785724,2.350904506832602,0.0005784034729003906,0.07799768447875977,0.16797232627868652,0.4685370922088623,0.0029330606797405077,1.9757344608949046,1.3807959140029455,1.685778471130994,1.2861268038740397,1.7397374477119865,0.40499360055986283,1.3007847591188906,1.19783461472125,1.4832528814583374,0.11598750414613482,0.8621772620833343,0.015089649647383041,1.4523806955794232,0.020459549331611725,1.2666626041399092,0.12641915160876138,1.382286228174286,0.13552011347080678,1.573220926320711,0.0828765340952408,1.5936942621823293,1.9886706034311616,2.236658724031804,2.0353833497591127,2.3002904791331944,0.8684686844696118,2.7288926313199706,1.969971420464765,2.2141278910723847,0.0009148120880126953,0.07704305648803711,0.2519235610961914,0.4478280544281006,1.380797540333422,1.685845465607561,1.170863967104594,1.7146240209876231,0.4391274975687372,1.3536486389113913,1.241521718979833,1.551527333188617,0.0007956027984619141,0.08792519569396973,0.2518141269683838,0.4436461925506592
-0.7,50,2.0114251432557153,2.0114251432557158,2.423943555530999,0.0005741119384765625,0.0827176570892334,0.2027723789215088,0.4867074489593506,-0.0062964977362857805,2.0242142224434807,1.4951939348576146,1.25057887662509,1.3368554321445851,1.1930609306227231,0.42005792398458647,1.0649154182923004,1.3676320237622435,1.2260435195931547,0.1147105914929949,1.098220974775114,-0.006121215467297792,1.7159294069894109,0.004056062877110045,1.4529035349193096,0.1321787928622894,1.3342396641691994,0.1587919197308716,1.5545989285934594,0.07840686355928295,1.5427043078283498,2.0649365417479415,1.817243898984407,2.0900313038865144,1.8446212351117706,0.9248354885813765,2.275655557332813,2.0396986902216616,1.8263902045309992,0.0005624294281005859,0.08147907257080078,0.269939661026001,0.4735434055328369,1.4952006177732293,1.2505049889006887,1.2636636799857701,1.0495433121456512,0.4582753516664289,1.1673016792624378,1.322446188379134,1.1968544545362325,0.0007083415985107422,0.0803689956665039,0.2500464916229248,0.4477553367614746
-0.7,51,2.0311553291268876,2.031155329126888,2.4406442550415086,0.0005743503570556641,0.07825922966003418,0.17065787315368652,0.48331284523010254,-0.015844243810191123,1.8804567058145973,1.273166817693894,1.5088618417347097,1.2125059168567105,1.6243400371648629,0.4191296112091914,1.166053650444292,1.2212614386034757,1.4488761531848724,0.09178157575380735,0.8808892757708527,0.015321229473525622,1.5111728547700625,0.029760376574819815,1.1860230005028538,0.16523242898439006,1.3764410642237295,0.1630948106106926,1.6343582773911804,0.0626064347950272,1.5465439572331803,1.835223228446548,1.992532400128842,1.8620439638316892,2.0912302052083938,0.8221299922141257,2.3737709598640935,1.8307622912614725,1.9780751420948852,0.0006048679351806641,0.08021306991577148,0.25368547439575195,0.4442300796508789,1.2732163760005941,1.5095105054231202,1.155552913504595,1.4624112028653145,0.4556304218598793,1.2879357573155512,1.2340472662834405,1.4417309459663457,0.0006563663482666016,0.08336758613586426,0.2666769027709961,0.5019924640655518
