corr,noise_sd,seed,vif_feature1,vif_feature2,cond_number,rmse_lin_test_both,rmse_lin_test_f1,rmse_lin_test_f2,rmse_svr_test_both,rmse_svr_test_f1,rmse_svr_test_f2,rmse_rf_test_both,rmse_rf_test_f1,rmse_rf_test_f2,rmse_mlp_test_both,rmse_mlp_test_f1,rmse_mlp_test_f2
-0.9,1.0,42,5.153219394068682,5.153219394068679,4.308015244783961,1.3497963113357796,1.3500648714556793,1.350800975903999,1.0411626847581192,1.1908178339788345,1.0036605416995927,1.06715583009045,1.4911781296454192,1.2096767453083093,1.1023156884631815,1.1923267992338324,1.0900859276633765
-0.9,1.0,43,5.741622368708225,5.741622368708225,4.573694931174013,1.33530161459898,1.335815736748022,1.3350577906966345,1.0811281962045767,1.2232961877157942,1.0485854929050515,1.1336856413222698,1.460503079249637,1.2520978595264902,1.152066059926621,1.21395590808908,1.1404448619298868
-0.9,1.0,44,5.600682130573753,5.600682130573753,4.511496110808105,1.3389933138445853,1.3393180214727822,1.339068801843898,1.093169546824701,1.2214068297802771,1.037550244948168,1.1401656408538468,1.4682155661480982,1.1981248392865878,1.1200849122981913,1.221025972325412,1.1101422688451323
-0.9,1.0,45,5.22504238222112,5.2250423822211225,4.341325949420962,1.358940293243226,1.3590020910791056,1.3602164446923852,1.0369363533783855,1.1925631646538466,1.0001255831111726,1.0649831407238062,1.4355822443155823,1.197091141112584,1.0910038859188051,1.1859836753122106,1.0856963127132455
-0.9,1.0,46,5.483334992871934,5.483334992871934,4.459040913280869,1.3742592833012324,1.3736149325421754,1.3740050275248845,1.0660931183469649,1.2373739354671847,1.0152399208871392,1.12403920089532,1.479585680790924,1.2413063905378072,1.1419846202148816,1.2346707440939093,1.1325052652078855
-0.9,1.0,47,5.37129221000906,5.37129221000906,4.408368390499695,1.325338846373797,1.3226340311358558,1.324869123522626,1.042286056494974,1.1944907429767913,1.0184824361711011,1.1305908991183669,1.469863676910568,1.2288516302049561,1.1078017901454122,1.2229161299572435,1.1066743734880127
-0.9,1.0,48,4.850172207984016,4.850172207984016,4.164496221218058,1.2821492217838706,1.2827620142053966,1.2812697016766756,1.0196832483491869,1.1918712628245545,0.9963873922296401,1.1105682535404675,1.429299523504793,1.2127436390423796,1.0639911133398356,1.194278543041575,1.0779576026447177
-0.9,1.0,49,5.466162609494122,5.466162609494122,4.451312338544182,1.3884077851147985,1.3846516822502537,1.3867107740663893,1.0467249284304818,1.206375090370156,1.008043348557925,1.0900194097080378,1.5116650078132652,1.2033121374620266,1.092311320952147,1.217045285098028,1.0854035648993148
-0.9,1.0,50,5.391209916498339,5.391209916498339,4.417419307495345,1.2975421298117094,1.2976748527690538,1.2984868815794668,1.0598554291507973,1.2070973429116287,1.0424951535777047,1.1358146400429447,1.4730232239734335,1.2525097321694967,1.087694388090988,1.2113638612175668,1.1137273099668628
-0.9,1.0,51,5.222503026602829,5.222503026602826,4.340152633849484,1.3049058116926393,1.3005597678907264,1.3040693294394854,1.0569042222121914,1.1958000551906562,1.0180262402101203,1.1419881020907383,1.4095889642013573,1.2129776087773563,1.0902003745140916,1.200164454940007,1.0981709140931053
-0.9,2.0,42,5.153219394068682,5.153219394068679,4.308015244783961,2.19747167779514,2.1975455531210972,2.1983951203265995,2.03207483787597,2.10009826786227,2.001885437183264,2.128643736182124,2.6379300588757255,2.4194776723689975,2.0576492774491877,2.090158389371864,2.044626921091173
-0.9,2.0,43,5.741622368708225,5.741622368708225,4.573694931174013,2.2171921315408687,2.2172368264156868,2.2169321474275625,2.1074592473432223,2.1637053307489897,2.083712605844656,2.265076326092867,2.5699082002003566,2.502501830490064,2.140876504974054,2.1573921328111867,2.1357324203501373
-0.9,2.0,44,5.600682130573753,5.600682130573753,4.511496110808105,2.226232792274596,2.225808843432376,2.2240571978310792,2.1211176799614018,2.1750148360409987,2.0716677990000973,2.2725482696059616,2.6170524044462167,2.3958741560803567,2.1136519140259122,2.165489882262048,2.096451283872939
-0.9,2.0,45,5.22504238222112,5.2250423822211225,4.341325949420962,2.1795993257163233,2.1813831002192496,2.1823726153188416,2.013239796648693,2.0770158981581335,1.9899305963766583,2.1240623630520186,2.458277553111326,2.393207638221116,2.0304285385154217,2.067095917919329,2.0307249989492324
-0.9,2.0,46,5.483334992871934,5.483334992871934,4.459040913280869,2.233229522600527,2.2320532852801933,2.23317040692385,2.0569001432710086,2.146765588489555,2.0252308171208306,2.2503842550997017,2.605777357514022,2.4854823466386984,2.1036640402795506,2.1472233053002587,2.097602583353455
-0.9,2.0,47,5.37129221000906,5.37129221000906,4.408368390499695,2.1978155834590174,2.194384864531061,2.1978200897446976,2.04438793020403,2.1210274439721633,2.03080656640821,2.250731912084127,2.5871765189973677,2.45859288309161,2.078808279136897,2.1434302810541235,2.081884731378536
-0.9,2.0,48,4.850172207984016,4.850172207984016,4.164496221218058,2.1359892441921784,2.1367999273228837,2.1352100140103363,2.005178648463696,2.0960432168800005,1.9925396644277416,2.217113805325485,2.5066030828672607,2.425228716643868,2.0166789246745394,2.0928879778635925,2.024415618585863
-0.9,2.0,49,5.466162609494122,5.466162609494122,4.451312338544182,2.245534728996681,2.2396492688012786,2.2422474869954905,2.039160686606076,2.119598083594082,2.0080216915686826,2.1685024469493914,2.655194960222154,2.4052372781934146,2.0470858098989377,2.114894340399323,2.037724439515174
-0.9,2.0,50,5.391209916498339,5.391209916498339,4.417419307495345,2.206365393476339,2.2081905082007047,2.208705589275708,2.081776786865631,2.158428075740196,2.082517751272207,2.2652794955470146,2.620871557978578,2.505227311258682,2.097177800797844,2.1584419159975257,2.1085496725665434
-0.9,2.0,51,5.222503026602829,5.222503026602826,4.340152633849484,2.1762042811342326,2.172944447576819,2.1765014361223436,2.0524717663479546,2.119132796120677,2.025166662756464,2.2755386355929788,2.534872720743654,2.4237451020050407,2.05753655911456,2.1184826460708552,2.0643977929328243
-0.9,3.0,42,5.153219394068682,5.153219394068679,4.308015244783961,3.13387641884783,3.1338889603462428,3.134772589303917,3.0298046681892394,3.0628727604131054,3.0039399874452455,3.1983124643155074,3.853364777668372,3.629307020637021,3.042433114925831,3.0482405182786323,3.0269474912274483
-0.9,3.0,43,5.741622368708225,5.741622368708225,4.573694931174013,3.192018294264799,3.191934967246136,3.1917440734113263,3.141908127701586,3.1723665370507255,3.120308001791342,3.3862334806778094,3.7454990093095977,3.752948750611123,3.1598958054335156,3.1577439082858505,3.157936036263647
-0.9,3.0,44,5.600682130573753,5.600682130573753,4.511496110808105,3.2029714034462655,3.2011642489763408,3.197978353179544,3.151131895391032,3.185962915120989,3.103672136409865,3.4052547549477286,3.828400375494422,3.5936318630595707,3.13491030253919,3.16741943821562,3.1120357781467396
-0.9,3.0,45,5.22504238222112,5.2250423822211225,4.341325949420962,3.0958533788605407,3.098999954698464,3.099930740967279,2.98679765915909,3.0215248272859694,2.979871792668049,3.1895546999842317,3.562103712118536,3.5894356700629455,2.995758577069015,3.013210581380467,2.9993648741705035
-0.9,3.0,46,5.483334992871934,5.483334992871934,4.459040913280869,3.1775554127218086,3.176150679437419,3.177819784123693,3.056073725011905,3.112655476153259,3.0335032045101955,3.3649833069123893,3.7979472249987563,3.729926951881747,3.0927290052886165,3.1160660028099096,3.0874530542265863
-0.9,3.0,47,5.37129221000906,5.37129221000906,4.408368390499695,3.155254180674842,3.1511525413712973,3.155627210466808,3.050908349695333,3.111236387627592,3.043650923597762,3.36294836163871,3.7736740407680878,3.688356542596056,3.0762723440266284,3.1211069395749074,3.0811660109252426
-0.9,3.0,48,4.850172207984016,4.850172207984016,4.164496221218058,3.07551973697649,3.0765045772050947,3.074880976426968,2.996631345380229,3.0559561123446595,2.9881810017959354,3.344148418719492,3.656570444002953,3.637720005523686,2.9967259326580193,3.0518384052064143,3.0022606080946566
-0.9,3.0,49,5.466162609494122,5.466162609494122,4.451312338544182,3.183668344858566,3.1759040046462315,3.1791044605622485,3.0401654124395154,3.0886911985706784,3.0090267081677973,3.26023496265915,3.864655672672082,3.607315444457682,3.0238746202514,3.0688812770096097,3.0167938383170503
-0.9,3.0,50,5.391209916498339,5.391209916498339,4.417419307495345,3.192835671802977,3.196141981086708,3.1962879527473387,3.104774917259958,3.1632207836670037,3.120328959471055,3.40181923983512,3.8427150884789785,3.7579629348603745,3.120063861139079,3.16128967040852,3.130057218779944
-0.9,3.0,51,5.222503026602829,5.222503026602826,4.340152633849484,3.132205381380287,3.1294910571107395,3.1333919288714305,3.050805135929552,3.100471523901002,3.032672808460587,3.4025581523036066,3.7286081723243973,3.6345977283215074,3.052763696757355,3.094880830496594,3.0596095637161533
-0.9,4.0,42,5.153219394068682,5.153219394068679,4.308015244783961,4.098639894378598,4.098638289767942,4.099541135447886,4.025804677977363,4.043061733958504,4.003119195204217,4.259153785218547,5.08850150408725,4.839143473487732,4.0331976392203,4.025214947633074,4.017213105207337
-0.9,4.0,43,5.741622368708225,5.741622368708225,4.573694931174013,4.195491619609541,4.195394231140587,4.195200299875491,4.180437464057147,4.199314960529815,4.156609843313651,4.495630127767662,4.940250323449622,5.003406418546592,4.18594579490446,4.175916237092753,4.184407718771263
