imbalance_scenario,sample_size,seed,model,metric,value
(50:50),40,6,LogisticRegression,MCC,0.3535533905932738
(50:50),40,6,MLP,Accuracy,0.8333333333333334
(50:50),40,6,MLP,F1_score,0.8333333333333334
(50:50),40,6,MLP,Sensitivity,0.8333333333333334
(50:50),40,6,MLP,Specificity,0.8333333333333334
(50:50),40,6,MLP,ROC_AUC,0.888888888888889
(50:50),40,6,MLP,PR_AUC,0.9166666666666665
(50:50),40,6,MLP,Balanced_Accuracy,0.8333333333333334
(50:50),40,6,MLP,MCC,0.6666666666666666
(50:50),40,7,SVM,Accuracy,0.75
(50:50),40,7,SVM,F1_score,0.8
(50:50),40,7,SVM,Sensitivity,1.0
(50:50),40,7,SVM,Specificity,0.5
(50:50),40,7,SVM,ROC_AUC,0.888888888888889
(50:50),40,7,SVM,PR_AUC,0.9166666666666665
(50:50),40,7,SVM,Balanced_Accuracy,0.75
(50:50),40,7,SVM,MCC,0.5773502691896257
(50:50),40,7,RandomForest,Accuracy,0.8333333333333334
(50:50),40,7,RandomForest,F1_score,0.8333333333333334
(50:50),40,7,RandomForest,Sensitivity,0.8333333333333334
(50:50),40,7,RandomForest,Specificity,0.8333333333333334
(50:50),40,7,RandomForest,ROC_AUC,0.9444444444444445
(50:50),40,7,RandomForest,PR_AUC,0.9583333333333333
(50:50),40,7,RandomForest,Balanced_Accuracy,0.8333333333333334
(50:50),40,7,RandomForest,MCC,0.6666666666666666
(50:50),40,7,LogisticRegression,Accuracy,0.75
(50:50),40,7,LogisticRegression,F1_score,0.7272727272727273
(50:50),40,7,LogisticRegression,Sensitivity,0.6666666666666666
(50:50),40,7,LogisticRegression,Specificity,0.8333333333333334
(50:50),40,7,LogisticRegression,ROC_AUC,0.7777777777777779
(50:50),40,7,LogisticRegression,PR_AUC,0.8214646464646465
(50:50),40,7,LogisticRegression,Balanced_Accuracy,0.75
(50:50),40,7,LogisticRegression,MCC,0.50709255283711
(50:50),40,7,MLP,Accuracy,0.8333333333333334
(50:50),40,7,MLP,F1_score,0.8333333333333334
(50:50),40,7,MLP,Sensitivity,0.8333333333333334
(50:50),40,7,MLP,Specificity,0.8333333333333334
(50:50),40,7,MLP,ROC_AUC,0.9166666666666667
(50:50),40,7,MLP,PR_AUC,0.9444444444444444
(50:50),40,7,MLP,Balanced_Accuracy,0.8333333333333334
(50:50),40,7,MLP,MCC,0.6666666666666666
(50:50),40,8,SVM,Accuracy,0.75
(50:50),40,8,SVM,F1_score,0.8
(50:50),40,8,SVM,Sensitivity,1.0
(50:50),40,8,SVM,Specificity,0.5
(50:50),40,8,SVM,ROC_AUC,0.8333333333333334
(50:50),40,8,SVM,PR_AUC,0.8416666666666666
(50:50),40,8,SVM,Balanced_Accuracy,0.75
(50:50),40,8,SVM,MCC,0.5773502691896257
(50:50),40,8,RandomForest,Accuracy,0.8333333333333334
